original bug report url,original tool,faulty target tool,Version,JDK version,Refactoring Type,Input program,Expected output prgram,Actual output program,Procedure,Symptom,submitted,state
https://youtrack.jetbrains.com/issue/IDEA-96962/Inline-method-to-super-constructor-call-break-code,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,inline method,"class A{
    void bar() {}
}
public class B extends A {
    void foo() {
        super.bar();
    }

    static void err(B b) {
        b.foo(); //inline call to foo()
    }
}",warning message,"public class B extends A {

    static void err(B b) {
        super.bar(); 
    }
}",inline method refactoring on b.foo(),compile error,,
https://youtrack.jetbrains.com/issue/IDEA-96962/Inline-method-to-super-constructor-call-break-code,IDEA,Eclipse,"Eclipse IDE for Enterprise Java and Web Developers (includes Incubating components)

Version: 2024-03 (4.31.0)
Build id: 20240307-1437",Oracle OpenJDK 22.0.1,inline method,"class A{
    void bar() {}
}
public class B extends A {
    void foo() {
        super.bar();
    }

    static void err(B b) {
        b.foo(); //inline call to foo()
    }
}",warning message,"public class B extends A {

    static void err(B b) {
        super.bar(); 
    }
}",inline method refactoring on b.foo(),compile error,https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1529,pending
https://youtrack.jetbrains.com/issue/IDEA-152181/Inline-method-tries-to-inline-private-field,IDEA,Eclipse,"Eclipse IDE for Enterprise Java and Web Developers (includes Incubating components)

Version: 2024-03 (4.31.0)
Build id: 20240307-1437",Oracle OpenJDK 22.0.1,inline method,"public class A {
    private Integer i = 0;

    void foo() {
        i.toString();
    }
}
public class B extends A {
    void bar() {
        foo(); // inline foo
    }
}",warning message,"public class B extends A {
    void bar() {
        i.toString(); // inline foo
    }
}",inline method refactoring on foo() in class B method bar(),compile error,,
https://youtrack.jetbrains.com/issue/IDEA-152181/Inline-method-tries-to-inline-private-field,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,inline method,"public class A {
    private Integer i = 0;

    void foo() {
        i.toString();
    }
}
public class B extends A {
    void bar() {
        foo(); // inline foo
    }
}",warning message,"public class B extends A {
    void bar() {
        i.toString(); // inline foo
    }
}",inline method refactoring on foo() in class B method bar(),compile error,,
https://youtrack.jetbrains.com/issue/IDEA-340915/Bug-Extract-local-variables-causes-syntax-errors,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,extract variable,"public class A {
    public void f() {
    }
}
public class B extends A {
    public void c() {
        super.f(); //select `super` and extract variable
    }
}",warning message,"public class B extends A {
    public void c() {
        final A aSuper = super;
        aSuper.f(); //select `super` and extract variable
    }
}",select `super` in class B method c() and extract variable,compile error,,
https://youtrack.jetbrains.com/issue/IDEA-309095/Improve-the-Safety-of-Introduce-Variable-Refactorings-concening-ClassCasts,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,extract variable,"public class A {
    public static void main( String[] args ) {
        foo(new Float(3.5));
    }
    
    public static void foo(Object obj) {
        if (obj instanceof Integer && ((Integer) obj).intValue() > 0) {
            System.out.println(((Integer) obj).intValue());
        } else if (obj instanceof Float && ((Float) obj).floatValue() > 0.0) {
            System.out.println(((Float) obj).floatValue());
        }
    }
}",-,"public class A {
    public static void main( String[] args ) {
        foo(new Float(3.5));
    }
    
    public static void foo(Object obj) {
        final int intValue = ((Integer) obj).intValue();
        if (obj instanceof Integer && intValue > 0) {
            System.out.println(intValue);
        } else if (obj instanceof Float && ((Float) obj).floatValue() > 0.0) {
            System.out.println(((Float) obj).floatValue());
        }
    }
}","select the expression ((Integer)obj).intValue(), 
and conduct refactoring ""extract local variable"".
Running the refactored program has syntax error.",behavior change,,
https://youtrack.jetbrains.com/issue/IDEA-124349/Extract-Parameter-refactoring-fails-for-nested-calls,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,Introduce Parameter,"public class A {
    private void test() {
        TestSubject subject = new TestSubject();
        boolean flag = false;

        if (subject.getSubject2().getVal() != flag) {
            System.out.println(subject.getSubject2().getVal());
        }
    }

    public static class TestSubject {
        public TestSubject2 getSubject2() {
            return new TestSubject2();
        }
    }

    public static class TestSubject2 {
        public boolean getVal() {
            return true;
        }
    }
}",-,"public class A {
    private void test() {
        test(subject.getSubject2().getVal());
    }

    private void test(boolean val) {
        TestSubject subject = new TestSubject();
        boolean flag = false;
        if (val != flag) {
            System.out.println(val);
        }
    }

    public static class TestSubject {
        public TestSubject2 getSubject2() {
            return new TestSubject2();
        }
    }

    public static class TestSubject2 {
        public boolean getVal() {
            return true;
        }
    }
}","1. Select ""subject.getSubject2().getVal()"" from the if-statement
2. Use Extract Parameter refactoring
3. Select ""Replace all occurences""",compile error,,
https://youtrack.jetbrains.com/issue/IDEA-142361/Extract-Variable-in-lambda-expression-fails,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,Introduc Variable,"public class A {
    public void doTest() {
        String text = ""xxx"";
        Runnable runnable = () -> A.this.toVoid(text.length() - 1);
    }

    private void toVoid(Object o) {
    }
}","public class A {
    public void doTest() {
        String text = ""xxx"";
        Runnable runnable = () -> {
                        int o = text.length() - 1;
                        A.this.toVoid(o);
                };
    }

    private void toVoid(Object o) {
    }
}","public class A {
    public void doTest() {
        String text = ""xxx"";
        Runnable runnable = () -> A.this.toVoid(name);
    }

    private void toVoid(Object o) {
    }
}","extracting variable for ""text.length() - 1""",compile error,,
https://youtrack.jetbrains.com/issue/IDEA-142361/Extract-Variable-in-lambda-expression-fails,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,Introduc Variable,"import java.lang.reflect.Method;
import java.util.Collection;
import java.util.Map;
import java.util.stream.Collectors;
import java.util.stream.Stream;

public class A {
    public void foo(Class<?> cls)
    {
        Stream.of(cls.getMethods())
                .filter(method ->
                        Collection.class.isAssignableFrom(
                                method.getReturnType())
                                || Map.class.isAssignableFrom(method.getReturnType()))
                .collect(Collectors.<Method>toList());
    }
}","import java.lang.reflect.Method;
import java.util.Collection;
import java.util.Map;
import java.util.stream.Collectors;
import java.util.stream.Stream;

public class A {
    public void foo(Class<?> cls)
    {
        Stream.of(cls.getMethods())
                .filter(method ->
                        {
							Class<?> returnType = method.getReturnType();
							return Collection.class.isAssignableFrom(
							        returnType)
							        || Map.class.isAssignableFrom(returnType);
						})
                .collect(Collectors.<Method>toList());
    }
}","import java.lang.reflect.Method;
import java.util.Collection;
import java.util.Map;
import java.util.stream.Collectors;
import java.util.stream.Stream;

public class A {
    public void foo(Class<?> cls)
    {
        Stream.of(cls.getMethods())
                .filter(method ->
                        Collection.class.isAssignableFrom(returnType)
                                || Map.class.isAssignableFrom(returnType))
                .collect(Collectors.<Method>toList());
    }
}",extract method.getReturnType() and have it replace both occurrences,compile error,,
https://youtrack.jetbrains.com/issue/IDEA-135083/Extract-variable-from-expression-lambda-and-changing-name-breaks-code,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,Introduc Variable,"public class A {
    void foo() {
        Runnable r = () -> System.out.println(""extract me"");
    }
}","public class A {
    void foo() {
        Runnable r = () -> {
			String x = ""extract me"";
			System.out.println(x);
		};
    }
}","public class A {
    void foo() {
        Runnable r = () -> System.out.println(x);
    }
}",extract the string constant from the following code,compile error,,
https://youtrack.jetbrains.com/issue/IDEA-135083/Extract-variable-from-expression-lambda-and-changing-name-breaks-code,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,Introduc Variable,"import java.io.FileFilter;

public class A {
    public void foo() {
        FileFilter java = f -> f.getName().endsWith("".java"");
    }
}","import java.io.FileFilter;

public class A {
    public void foo() {
        FileFilter java = f -> {
			boolean endsWith = f.getName().endsWith("".java"");
			return endsWith;
		};
    }
}","import java.io.FileFilter;

public class A {
    public void foo() {
        FileFilter java = f -> endsWith;
    }
}","Extract a variable from f.getName().endsWith("".java"")",compile error,,
https://youtrack.jetbrains.com/issue/IDEA-88758/Dont-extract-variable-where-its-impossible,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,Introduc Variable,"public class A {
    public void foo(int[] ints) {
        int length = 10;
        for (int i = 0; i < length && ints[i] > 0; i++) {
            System.out.println(ints[i]);
            System.out.println(ints[i]);
            System.out.println(ints[i]);
        }
    }
}","public class A {
    public void foo(int[] ints) {
        int length = 10;
        for (int i = 0; i < length && ints[i] > 0; i++) {
            int x = ints[i];
			System.out.println(x);
            System.out.println(x);
            System.out.println(x);
        }
    }
}","public class A {
    public void foo(int[] ints) {
        int length = 10;
        final int x = ints[i];
        for (int i = 0; i < length && x > 0; i++) {
            System.out.println(x);
            System.out.println(x);
            System.out.println(x);
        }
    }
}",introduce variable for ints[i] and replace all occurances,compile error,,
https://youtrack.jetbrains.com/issue/IDEA-82103/Move-Method-breaks-code,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,Move Method,"public class A {
    B b = new B();

    void beep() {}

    public static void main(String[] args) {
        A flim = new A();
        flim.beep();
    }
}
public class B {
}","public class A {
    B b = new B();

    public static void main(String[] args) {
        A flim = new A();
        flim.b.beep();
    }
}
public class B {

        void beep() {}

}","public class A {
    B b = new B();


    public static void main(String[] args) {
        A flim = new A();
        b.beep();
    }
}
public class B {

    void beep() {
    }
}",move refactoring for method beep() in Class A,compile error,,
https://youtrack.jetbrains.com/issue/IDEA-88471/Move-instance-method-can-generate-bad-code-when-moving-to-an-interface,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,Move Method,"public class A {
    private MyInterface myInterface;

    public void doSomething() {
    }

    public void callDoSomething() {
        doSomething();
    }
}
public interface MyInterface {

}
public class B implements MyInterface{

}","public class A {
    private MyInterface myInterface;

    public void callDoSomething() {
        myInterface.doSomething();
    }
}
public interface MyInterface {

	default void doSomething() {
	}

}
public class B implements MyInterface{

}","public class A {
    private MyInterface myInterface;


    public void callDoSomething() {
        myInterface.doSomething();
    }
}
public interface MyInterface {

    public void doSomething() {
    }
    
}
public class B implements MyInterface{

}",move refactoring for method doSomething() in Class A to Interface MyInterface,compile error,,
https://youtrack.jetbrains.com/issue/IDEA-155147/move-method-breaks-method-reference-and-results-in-compile-error,IDEA,Eclipse,"Eclipse IDE for Enterprise Java and Web Developers (includes Incubating components)

Version: 2024-03 (4.31.0)
Build id: 20240307-1437
",Oracle OpenJDK 22.0.1,Move Method,"import java.util.ArrayList;

import static java.util.stream.Collectors.toList;

public class A {
    private static class Destination{ }

    private final Destination destination = new Destination();

    public void main(){
        new ArrayList<String>().stream().filter(this::notNull).collect(toList());
    }

    private boolean notNull(String it) {
        return it != null;
    }
}","import java.util.ArrayList;

import static java.util.stream.Collectors.toList;

public class A {
    private static class Destination{
        private boolean notNull(String it) {
            return it != null;
        }
    }

    private final Destination destination = new Destination();

    public void main(){
        new ArrayList<String>().stream().filter(destination::notNull).collect(toList());
    }

}","import java.util.ArrayList;

import static java.util.stream.Collectors.toList;

public class A {
    private static class Destination{

                boolean notNull(String it) {
                    return it != null;
                } }

    private final Destination destination = new Destination();

    public void main(){
        new ArrayList<String>().stream().filter(this::notNull).collect(toList());
    }
}",move refactoring for method notNull(),compile error,,
https://youtrack.jetbrains.com/issue/IDEA-151440/No-Move-Members-refactoring-warning-when-move-will-hide-existing-member,IDEA,Eclipse,"Eclipse IDE for Enterprise Java and Web Developers (includes Incubating components)

Version: 2024-03 (4.31.0)
Build id: 20240307-1437",Oracle OpenJDK 22.0.1,Move Method,"public class A {
    static boolean truth = true;
    static void important() {
        System.out.println(1);
    }
}
public class B extends A{
    B() {
        important();
        System.out.println(truth);
    }
}
public class C{
    static boolean truth = false;
    static void important() {
        System.out.println(2);
    }
}",warning message,"public class A {
    static boolean truth = true;
    static void important() {
        System.out.println(1);
    }
}
public class B extends A{
    static boolean truth = false;

        B() {
        important();
        System.out.println(truth);
    }

        static void important() {
            System.out.println(2);
        }
}
public class C{
}",move refactoring for important() and truth in class C to B,behavior change,https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1530,pending
https://youtrack.jetbrains.com/issue/IDEA-151440/No-Move-Members-refactoring-warning-when-move-will-hide-existing-member,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,Move Method,"public class A {
    static boolean truth = true;
    static void important() {
        System.out.println(1);
    }
}
public class B extends A{
    B() {
        important();
        System.out.println(truth);
    }
}
public class C{
    static boolean truth = false;
    static void important() {
        System.out.println(2);
    }
}",warning message,"public class A {
    static boolean truth = true;
    static void important() {
        System.out.println(1);
    }
}
public class B extends A{
    static boolean truth = false;

	B() {
        important();
        System.out.println(truth);
    }

	static void important() {
	    System.out.println(2);
	}
}
public class C{
}",move refactoring for important() and truth in class C to B,behavior change,,
https://youtrack.jetbrains.com/issue/IDEA-318626/Change-signature-incorrectly-wraps-unwraps-arguments-when-changing-between-varargs-and-arrays,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,Change Mehtod Parameter,"public class A {
    public static void doSomething(int x, String... args) {
    
    }
    
    public static void main(String[] args) {
        doSomething(0, ""foo"", ""bar"");
        doSomething(0, new String[]{""one"", ""two""});
    }
}",-,"public class A {
    public static void doSomething(int x, String... args) {
    
    }
    
    public static void main(String[] args) {
        doSomething(0, ""foo"");
        doSomething(0, new String[]{""one"", ""two""});
    }
}",Change signature: String... -> String[],behavior change,,
https://youtrack.jetbrains.com/issue/IDEA-111735/Change-Signature-refactoring-corrupts-javadoc-links-references-to-the-method,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,Change Mehtod Parameter,"import java.util.Collection;
import java.util.List;
import java.util.ArrayList;

public class A {
    public void foo(List<String> dates, Collection<String> timeUnits) {

    }

    /**
     * ... use {@link #foo(java.util.List, java.util.Collection)} as ...
     */
    public void bar() {

    }
}","import java.util.Collection;
import java.util.List;
import java.util.ArrayList;

public class A {
    public void foo(ArrayList<String> dates, Collection<String> timeUnits) {

    }

    /**
     * ... use {@link #foo(java.util.ArrayList, java.util.Collection)} as ...
     */
    public void bar() {

    }
}","import java.util.Collection;
import java.util.List;
import java.util.ArrayList;

public class A {
    public void foo(ArrayList<String> dates, Collection<String> timeUnits) {

    }

    /**
     * ... use {@link #foo(java.util.List, java.util.Collection)} as ...
     */
    public void bar() {

    }
}","change the type of the first parameter type by change method parameter,
check update the javadoc, but the javadoc not updated",comment related,,
